Price,House Type,Area in sq ft,No. of Bedrooms,Location,City/County,Postal Code,Outcode,log_price,price_band
1195000,Flat / Apartment,872,2,chelsea,london,SW10 9HA,SW10,13.993656743347747,4
2750000,Flat / Apartment,1839,4,drayton gardens,london,SW10 9RH,SW10,14.827111469642754,8
6950000,House,5501,6,hammersmith,london,W6 9DJ,W6,15.754252217540975,9
2750000,House,2675,4,battersea,london,SW11 4PX,SW11,14.827111469642754,8
525000,Flat / Apartment,514,2,wimbledon,london,SW19 4SX,SW19,13.17115354157376,0
5450000,Flat / Apartment,1920,3,,london,SW1X 9HB,SW1X,15.511126166639427,9
2325000,New development,2392,4,thurleigh road,london,SW12 8UF,SW12,14.659230597003594,7
3750000,House,3256,3,marylebone,london,W1G 6QW,W1G,15.137266397946593,9
1750000,Flat / Apartment,714,2,,london,SW3 1LS,SW3,14.375126345899696,6
750000,Flat / Apartment,604,1,chelsea,london,SW1W 8QL,SW1W,13.527828485512494,2
3150000,Flat / Apartment,1755,4,,london,W8 6TS,W8,14.962913010801817,8
1150000,House,2357,4,esher,surrey,KT10 9UD,KT10,13.955272500339433,4
575000,Flat / Apartment,800,2,,london,SE17 1GG,SE17,13.262125319779487,1
1250000,House,2475,6,,london,SW17 8RU,SW17,14.038654109278484,5
1150000,House,1703,4,,london,SW17 7PL,SW17,13.955272500339433,4
650000,Flat / Apartment,584,1,clerkenwell,london,EC1V 3AN,EC1V,13.38472764187182,1
1295000,House,1356,4,chiswick,london,W4 2LH,W4,14.074021253115776,5
765000,Flat / Apartment,1362,3,fulham,london,SW6 4LA,SW6,13.547631112808673,2
1100000,House,1420,3,barnes,london,SW13 9JF,SW13,13.9108207377686,4
2350000,House,2153,4,barnes,london,SW13 0BL,SW13,14.669925886120343,7
965000,House,1222,4,tooting bec,london,SW17  8SF,SW17,13.779883380321124,3
1750000,Flat / Apartment,732,1,holland park,london,W11 3NT,W11,14.375126345899696,6
800000,New development,1119,2,clapton,london,E5 8DS,E5,13.592367006650065,2
1050000,House,2375,5,walton-on-thames,surrey,KT12 3HN,KT12,13.864300722133706,4
475000,Flat / Apartment,525,1,maida vale,london,W9 1UJ,W9,13.071070083016778,0
752500,New development,874,2,belsize road,london,NW6 4BR,NW6,13.531156275605168,2
1399950,House,1748,4,de beauvoir,london,N1 4FA,N1,14.151947079662003,5
2795000,House,6061,7,esher,surrey,KT10 9PB,KT10,14.843342664571336,8
1750000,New development,3913,4,esher,surrey,KT10 0TX,KT10,14.375126345899696,6
2995000,House,3406,5,between the commons,london,SW4 9AU,SW4,14.912454789531687,8
1825000,House,2500,5,,london,SW14 8DY,SW14,14.417090544998729,6
550000,Flat / Apartment,609,2,queenstown road,london,SW8 3RJ,SW8,13.217673557208654,0
1850000,House,2516,5,,london,SW4 9EL,SW4,14.430696197054507,6
